Культура;Id;Название;Год;Регионы;Категория;Направление использования;Период использования;Срок созревания (гр. спелости);Тип растения;Условия выращивания;Форма;Номер патента
Томат;9252269;БАРМАЛЕЙ;2008;*;-;салатный;-;ранний (раннеспелый);детерминантное;садово-огородный;плоскоокруглая;5134
Райграс пастбищный;8654279;БАРМАРГА;2015;*;-;газонная трава;-;-;-;-;-;
Райграс пастбищный;8756370;БАРМИНТОН;2014;*;-;газонная трава;-;-;-;-;-;
Райграс многоукосный;8853769;БАРМУЛЬТРА II;2014;*;-;для газонов и на корм;-;-;-;-;-;
Ирис;9252327;БАРНА;2007;*;-;-;-;-;-;-;-;
Люцерна синяя;8152853;БАРНАРД;2022;3;-;кормовой;-;-;-;-;-;
Вика посевная яровая;9502734;БАРНАУЛКА;1997;10, 12;-;-;-;-;-;-;-;
Лилия;8355358;БАРНАУЛЬСКАЯ;2019;*;-;-;-;-;-;-;-;
Малина;6402046;БАРНАУЛЬСКАЯ;1961;1, 2, 3, 4, 7, 9, 10, 11;-;-;-;средний (среднеспелый);-;-;-;
Смородина золотистая;9358593;БАРНАУЛЬСКАЯ;2006;*;-;-;-;-;-;-;-;
Просо посевное;8153705;БАРНАУЛЬСКОЕ 18;2021;10;-;ценная(ый) по качеству;-;средний (среднеспелый);-;-;-;11704
Просо посевное;9908222;БАРНАУЛЬСКОЕ 98;2003;10;-;-;-;средний (среднеспелый);-;-;-;
Яблоня;7907508;БАРНАУЛЬСКОЕ РАННЕЕ;2000;10;-;-;-;-;-;-;-;
Капуста белокочанная;9358672;БАРОККО;2008;4;гибрид первого поколения;-;-;очень ранний;-;товарное производство;-;
Патиссон;8154553;БАРОККО;2020;*;-;-;-;ранний (раннеспелый);-;садово-огородный;-;
Томат;8057506;БАРОККО;2021;*;гибрид первого поколения;салатный;-;ранний (раннеспелый);детерминантное;садово-огородный;обратнояйцевидная;
Овсяница тростниковая;9154916;БАРОЛЕКС;2011;*;-;для газонов и на корм;-;-;-;-;-;
Подсолнечник;9610565;БАРОЛО РО;2007;6, 8;простой гибрид;-;-;среднеранний;высокомасличный;-;-;
Баклажан;9553360;БАРОН;2005;;гибрид первого поколения;-;-;-;-;сад.-огород. для з/грунта;-;
Витлуф;8154769;БАРОН;2019;*;-;-;-;-;-;садово-огородный;-;
Картофель;9610137;БАРОН;2006;4, 10, 12;-;столовый;-;ранний (раннеспелый);"устойчив к раку, патотип I; восприимчив к золотистой картофельной нематоде (R01)";-;-;3082
Кориандр овощной;8559044;БАРОН;2015;*;-;салатный;-;-;-;садово-огородный;-;
Кукуруза сахарная;8154417;БАРОН;2020;*;простой гибрид;пищевое;-;ранний (раннеспелый);-;садово-огородный;-;
Лук батун;9552971;БАРОН;2005;*;-;-;-;-;-;садово-огородный;-;
Мятлик луговой;8756389;БАРОН;2015;*;-;для газонов и на корм;-;-;-;-;-;
Огурец;9610029;БАРОН;2006;2, 3;гибрид первого поколения;консервный;-;от очень раннего до раннего;партенокарпическое;товарное производство;-;
Редис;9359074;БАРОН;2008;*;-;-;-;ранний (раннеспелый);-;садово-огородный;эллиптическая;
Рыжик озимый;8557799;БАРОН;2016;*;-;-;-;-;-;-;-;8650
Свекла столовая;8057450;БАРОН;2022;2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12;-;-;-;-;-;товарное производство;округлая;
